id	disease_name_cn	disease_name_entry_cn
10335	婴儿性骨皮质增生症	小儿Caffey病|小儿卡菲病|小儿卡菲氏病|小儿史密斯氏综合征|小儿史密斯综合征|婴儿骨皮质肥厚症|婴儿骨外层肥厚|婴儿皮质增生|婴儿性骨皮层增生症|Caffey-Silverman病|增生性骨肥大|Caffey 病|Caffey-smith 综合征|De Toni-Silverman-Caffey 综合征|全身性骨皮层肥厚|婴儿性皮层骨肥厚|Caffey-Smith综合征|Caffey病|Engelman病|Roske-De Toni-Caffey综合征|婴儿性皮层肥厚|硬性骨皮层增生症
7663	脊椎化脓性骨髓炎	
12484	膝关节滑膜疝	
4098	类风湿血管炎	
10426	月骨脱位及月骨周围脱位	
8404	脑膨出和脑脊膜膨出	脑突出和脑膜膨出
204	关节挛缩	
3697	髌骨脱位	
10568	足舟骨骨折	
11247	桡骨干下三分之一骨折合并下尺桡关节脱位	
9223	先天性高弓足	爪形足
7722	肩关节不稳定	
1212	原发性高草酸尿症	高草酸尿综合征
5071	颞下颌关节脱位	颞颌关节脱位
9559	小儿进行性骨化性肌炎	小儿进行性骨化性纤维发育不良
7461	骨膜软骨瘤	骨皮质旁软骨瘤|偏心性软骨瘤
10202	腰部峡部崩裂和脊椎滑脱	
10050	胸、腰椎爆裂骨折	胸与腰椎爆裂骨折
4075	椎间盘退变	
2064	假性甲状旁腺功能减退症	Albright遗传性骨营养不良|假甲状旁腺机能减退|假性甲状旁腺机能低下症|假性甲状旁腺功能减退|假性假甲状旁腺功能减退症
9480	小儿横纹肌肉瘤	
2410	腱鞘炎	
1641	肌疾病	
12473	创伤性血管神经综合征	损伤后或术后血管功能紊乱|外伤性血管神经综合征
11026	踝关节扭伤	
10710	脊椎骨骨髓炎	
8544	髂腹股沟神经干痛	髂腹股沟综合征|髂腹股沟神经痛
5282	急性颈椎关节周围炎	失枕|落枕|急性颈部肌肉扭伤|急性颈部软组织损伤|颈强直|外伤性斜颈|颈部肌筋膜炎|颈肩部急性肌筋膜炎|斜方肌综合征|局部型颈椎病|急性颈项僵直
3794	髌股疼痛综合征	
7103	骶髂关节结核	结核性骶髂关节炎
3260	粉碎性骨折	
203	类风湿关节炎	类风湿性关节炎|类风湿|类风湿病|类风关
9252	先天性膝关节脱位	Hey膝关节不全脱位|先天性膝反屈|先天性膝关节半脱位|先天性膝关节前脱位|先天性膝过伸
5461	肩锁关节脱位	
4418	关节外科	
2845	前脑无裂畸形	
7313	副肿瘤性脊髓病	类肿瘤性脊髓病
3129	骨化性纤维瘤	
7590	肌肉肌腱单位的急性损伤	
11058	脊神经根炎	
4101	Costello综合征	
10716	绝经后骨关节炎	
11062	脊椎骨质增生症	
12487	膝关节滑膜皱襞综合征	knee plica综合征|髌内侧滑膜皱襞综合征|膝关节皱襞综合征
5274	肘内翻畸形	松托状变形|前臂内翻|枪托畸形|肘内翻
8902	手部血管损伤	
880	股骨头坏死	股骨头缺血性坏死|股骨头无菌性坏死|骨组织缺血性坏死|无菌性骨坏死|特发性股骨头坏死|缺血性骨坏死|无血管性骨坏死|缺血性骨梗死|缺血性股骨头坏死|股骨头坏死
1674	传染性粘液瘤病	
10704	肌张力异常	
9815	小儿腺苷脱氨酶缺乏	小儿ADA缺陷|小儿腺苷脱氨酶缺乏症|小儿腺苷脱氨酶缺陷|腺苷脱氨酶缺之症
5971	櫻桃红斑-肌阵挛综合征	
6301	Fanconi Ⅱ型综合征	
1673	先天性肌强直	Thomsen病
2156	下颌后缩	缩颌
200	实验性关节炎	佐剂性关节炎
899	牙病灶感染	
4227	斜头畸形	
9015	臀上皮神经干痛	
3720	锤状趾综合征	
4373	膝关节结核	
3405	SAPHO综合征	滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合征|滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合症
2780	疲劳骨折	疲劳性骨折|压力性骨折|行军骨折|积累性劳损|应力性骨折
5467	桡骨头半脱位	Malgine脱位|保姆肘|恼怒肘|牵拉性桡骨头半脱位|牵拉肘|上尺挠关节环状韧带半脱位|桡骨小头半脱位|疼痛性麻痹|延长肘|肘捩伤
7805	颈肋	
11084	进行性脊髓性肌萎缩症	
6729	击入性骨折	
588	减压病	
9207	先天性尺桡骨性连接	
3615	拇趾僵化	
11030	肌肉萎缩	肌萎缩
7430	肱骨小头骨折	
6799	踇外翻	
3540	先天性眼震	
4323	手足外科	
4421	运动医学	
8901	手部神经损伤	
7817	颈椎黄韧带骨化症	
4370	化脓性关节炎	
6955	长骨造釉细胞瘤	长骨的成釉细胞瘤|牙釉质瘤
3728	X连锁遗传性疾病	
1240	低钙血症	低钙血|低血钙症
5441	颞下颌关节急性前脱位	
12478	摩顿综合征	松弛型跖痛症|短第1跖骨综合征|短第1跖骨性内翻足|Morton三联症|Morton(D)综合征
12455	青年性手指骨骺骨软骨炎	Thiemann病|青年性手指骨骺骨软骨炎|青年性手指骨骺软骨炎|指、趾骨多发性骨软骨病
7816	颈椎后纵韧带骨化症	颈椎后纵韧带骨化|日本人病
1758	努南综合征	Noonan综合征|假性特纳综合征|男性特纳综合征|Ullrich综合征|Bonnevie-UHrich综合征|男性特纳氏综合征|男性特纳综合症
5049	网状细胞肉瘤	骨原发性非霍奇金淋巴瘤|原发性中枢神经系统淋巴瘤|小神经胶质细胞瘤|血管旁肉瘤
3006	MERRF综合征	肌阵挛性癫痫伴蓬毛样红纤维
5455	头皮撕脱伤	头皮撕脱
12409	脊椎结核	
11545	髂总静脉受压综合征	
7343	盖氏骨折	Piedmont骨折|必须骨折|反孟氏骨折|加莱亚蒂骨折|盖里阿奇骨折|Moore骨折|桡骨干中下1/3骨折合并下桡尺关节脱位|桡骨下端骨折合并尺骨脱位
301	骨肿瘤	
11095	颈椎单侧小关节脱位	
12469	前臂内侧皮神经卡压综合征	
3067	多指畸形	多趾畸形|重复指
11305	石膏综合征	
1044	手外伤	
3383	颌面畸形	
7460	骨淋巴管瘤	骨淋巴管痣瘤
3358	颅面骨畸形	
3152	外周性原始神经外胚叶瘤	周围神经上皮性肿瘤
2448	胫骨骨折	
8977	特发性脊柱侧凸	
11281	烧伤后肌腱粘连	
6658	股骨远端骨折	
3842	拇内翻	
1316	颌疾病	
2299	强直性脊柱炎	强直性脊椎炎|Marie-Striimpell病|Marie-strümpell病|Von Bechterew病|类风湿性脊柱炎|类风湿性脊椎炎|类风湿中心型|玛丽-斯特伦佩尔病|玛丽-斯特伦佩尔氏病|强柱
5289	致密性骨炎	髂骨致密性骨炎|致密性骶髂关节骨炎|骶髂关节致密性骨炎|致密性髂骨炎|浓缩性骨炎
3639	肌强直失调症	
5334	创伤性骨髓炎	创伤后骨髓炎
5484	棘上棘间韧带损伤	
6669	胸椎间盘突出症	
6054	Becker型肌营养不良	
12467	指神经卡压综合征	
2191	Rubinstein-Taybi综合征	
3073	糖尿病足	
4234	双膦酸盐相关的下颚骨坏死	
645	DiGeorge综合征	
1928	骨膜炎	
6657	肱骨近端骨折	
5176	颞骨骨折	
7535	化脓性甲沟炎	
12502	足部隆突综合征	
6664	坐骨神经损伤	
1329	Kearns-Sayer综合征	
1624	黏多糖病	粘多糖累积病|黏多糖贮积症|粘多糖贮积症|黏多糖增多症|粘多糖贮积病|黏多糖贮积病|粘多糖症
2954	杆菌性上皮样血管瘤病	杆菌性血管瘤病|上皮样血管瘤病|杆菌性血骨病
9197	下腰椎不稳症	
4375	松毛虫性骨关节炎	
364	类风湿尘肺	
10524	椎动脉创伤性栓塞	椎动脉外伤性栓塞
11005	关节退行性病变	
7469	骨血管外皮细胞瘤	骨周皮瘤
11006	关节脱位	
4106	Silver-Russell综合征	
10441	掌侧化脓性腱鞘炎、滑囊炎和深间隙感染	
6558	腘窝囊肿综合征	Baker综合征|膝关节后疝|腓肠肌半膜滑囊炎|半膜肌滑囊肿|腘窝滑囊炎|假性血栓性静脉炎综合征|腘窝囊肿|贝克囊肿|腓肠肌半膜肌滑囊炎|滑囊憩室|膝关节后侧疝
504	Colles骨折	桡骨下端伸直型骨折|史密斯骨折|反柯莱斯骨折|反向性科勒斯骨折|反向性科勒斯氏骨折|桡骨下端骨折|史密斯氏骨折|克雷氏骨折|桡骨远端伸直型骨折|桡骨远端向背骨折|柯莱斯骨折
7726	肩胛颈及肩胛盂骨折	
10896	创伤性枢椎前滑脱	
5184	肩周炎	冻肩|冻结肩|杜普累氏综合征|杜普累综合征|肩关节周炎|五十肩|粘连性肩关节炎|老年肩|Duplay综合征|冻肩综合征|肩部滑囊炎|肩峰下粘液囊炎|肩肱关节周围炎|肩周纤维织炎|凝肩综合征|三角肌下滑囊炎|粘连性关节囊综合征|粘连性肩关节囊炎|肩肱关节滑囊炎|肩关节周围纤维织炎综合征|肩关节周围纤维组织炎|漏风肩|粘连性肩肱关节囊炎|肩关节周围炎
2883	踝损伤	
8721	软骨黏液样纤维瘤	软骨粘液样纤维瘤|纤维黏液性软骨瘤
3132	骨软骨瘤病	
1170	肱骨骨折	
3530	膝关节骨性关节炎	膝骨关节炎|老寒腿|膝关节骨关节病|膝关节退变性关节炎|骨性膝关节炎
5332	急性血源性骨髓炎	急性骨髓炎
7651	脊髓梅毒	
6665	胫神经损伤	
3638	胰腺管癌	
9255	先天性斜颈	
5255	踝扭伤	崴脚|踝部扭伤
7429	肱骨外髁骨折	
11003	骨折后遗症	
3127	骨组织肿瘤	
7448	股骨髁上骨折	
9213	先天性腓骨缺如	先天性腓骨缺失
2307	脊柱损伤	
10579	坐骨疝	臀疝|坐骨孔疝
12491	小腿后筋膜间室综合征	小腿后侧肌群高压症|胫后筋膜间室综合征
11002	骨外骨肉瘤	
9182	膝外侧韧带损伤	膝关节外副韧带损伤
2376	并指	并趾|蹼指
9475	小儿过敏性紫癜	小儿Henoch-Schonlein综合征|小儿变态反应性紫癜|小儿变应性紫癜|小儿出血性毛细血管中毒症|小儿亨-舒综合征|儿童过敏性紫癜
4366	慢性骨损伤	
9202	先天性内翻	
12503	足舟骨缺血坏死	足舟骨无菌性坏死|足舟骨骨软骨炎|跖骨头无菌坏死|跗舟骨软骨病|第2跖骨骨病|跗舟骨缺血坏死
4154	大骨节病	大骨关节病|卡斯钦-贝克病|Kashin-Bek 病|矮人病|卡-贝病|柳拐子病|算盘子病|Kaschin-Beck 病|卡-贝二氏病|乌洛夫病|Kashin-Bek病|Kaschin-Beck病
7030	创伤性肩关节后脱位	
11309	手掌深部间隙感染	
10838	Friedreich共济失调症	腓肌萎缩型共济失调综合征|Roussy-Levy综合征|遗传性共济失调肌萎缩综合征|腱反射缺乏的家族性爪状脚综合征
8613	桡骨茎突部狭窄性腱鞘炎	
11491	原发性椎管内肿瘤	
7556	寰椎横突肥大	
7311	副神经损伤与卡压	
10721	髋关节置换术后康复	
9428	小儿腓骨肌萎缩症	小儿Charcot-Marie-Tooth病|小儿腓侧肌萎缩|小儿腓肌萎缩|小儿遗传运动感觉神经病|小儿神经性进行性肌萎缩综合征|进行性腓骨肌萎缩|Tooth综合征|Charcot-Marie-Tooth 综合征
5462	肱骨外科颈骨折	
8909	枢椎齿突骨折	
11581	软骨外胚层发育不良综合征	软骨-外胚层发育不良|三胚叶软骨发育异常|外胚叶软骨发育异常|中、外胚叶发育异常
10392	原发性骨淋巴瘤	原发性骨网状细胞肉瘤
7553	寰枢椎脱位	寰枢椎脱臼
4219	髂胫束综合征	髂胫带综合征|髂胫束摩擦综合征|跑步膝
12464	指（趾）骨小孔综合征	冬季指|儿童指（趾)骨小孔综合征|婴儿指（趾)骨小空泡综合征|婴儿指骨小孔病|指（趾)骨小孔综合征
4066	Loeys-Dietz综合征	
6668	狭窄性腱鞘炎	屈指肌肌腱炎|弹响指|扳机指|手指屈肌腱鞘炎|板机状指|弹拨指|扳机指症
4107	矮妖精综合征	怪颜貌综合征|怪妖精综合征|内分泌障碍症
9007	投掷骨折	肱骨投掷骨折
5989	颈部外伤综合征	鞭索损伤
5483	胫腓骨骨干骨折	胫腓骨干骨折|胫腓骨骨折
1805	骨关节炎	退行性关节病|骨关节病|增生性骨关节病|肥大性骨关节炎|退行性骨关节炎|骨性关节炎
12221	妊娠期腕管综合征	
6797	Marie-Bamberger综合征	Marie-Bamberger综合症|肥大性肺骨关节病|肺性肥大性骨关节病|肺性增殖性骨关节病|继发性肺性骨关节病|马-班二氏综合征|慢性肺性骨关节病|全身性肥大性骨关节病|Bamberger病|Bamberg'sⅢ综合征|Hagner病|Mankowsky综合征|Marie-Bamberger病|Paget病性骨病|Von Bamberg综合征|变形性骨关节病|肺性骨关节炎|肺性继发性肥大性骨关节病|骨性狮面症|继发性肥大性骨关节病|继发性肥大性中毒性骨膜炎|末端指（趾)肥大症|全身肥大性骨关节病|增殖性骨关节病|中毒性骨化性骨关节病|中毒性骨膜炎
7820	颈椎椎体楔形压缩骨折	
4051	眼眶肌炎	眼外肌炎
4265	股骨头骨骺滑脱	股骨头骨骺滑脱症|股骨头骨骺滑移|股骨头骨骺脱离|青年期骨骺性髋内翻
3011	颅下颌骨病症	
644	动物疾病模型	
893	骨纤维发育不良	骨纤维异样增殖症|骨纤维结构不良|纤维性骨结构不良
7447	股骨髁骨折	
8550	前臂动脉损伤	
9129	尾痛症	尾骨痛|Thiele综合征|骶尾部痛综合征|尾瘤综合征|尾神经丛卡压征|尾椎痛|尾部痛
7573	混合性颞下颌关节强直	
10458	枕颈关节损伤	寰关节损伤
1816	骨软化症	骨质软化症|维生素D缺乏病|骨软化|骨软化病|骨质软化|驼背|英吉利病|维D缺乏病|佝偻病|软骨病|Miller病
1013	Goldenhar综合征	
10206	腰椎退变性小关节损伤性关节炎	
12468	指节垫综合征	
5211	深静脉血栓	深静脉血栓形成
907	局灶性皮肤发育不全	Goltz综合征|局限性真皮发育不全|灶性皮肤发育不全综合征
11371	系统性红斑狼疮性关节炎	
2380	滑膜炎	
4308	骨科疾病	
3750	LEOPARD综合征	
7601	急性髌骨脱位	
8616	桡骨头骨折	
10248	遗传性多发性骨软骨瘤	多发性外生骨疣|骨干端连续症|遗传性畸形性软骨发育异常症|多发性软骨外生骨疣|Ehrenfried综合征|hereditory deforming dyschoadlkoplasia|半肢骨骺发育不良|多发软骨性外生骨疣|骨干性连续症|骨软骨性骨疣|骨疣型Ollier病|家族性多发性外生骨软骨瘤|家族性多发性外生骨疣|软骨发育障碍症|外生软骨瘤病|遗传性多数性外生骨疣|遗传性畸形性软骨结构不良症
9722	小儿石膏综合征	小儿管型石膏夹综合征|小儿石膏综合症
832	外生骨疣	单发性骨软骨瘤|甲下骨疣
1672	肌强直	
1326	关节游离体	
9471	小儿骨与关节结核	小儿骨、关节结核病|小儿骨与关节结核
7599	极外侧型腰椎间盘突出症	最外侧型腰椎间盘突出症
12454	前臂外侧皮神经卡压综合征	
10450	真菌性关节炎	霉菌性关节炎
9224	先天性高位肩胛	Sprengel畸形|先天性高位肩胛症畸形
11509	中心性软骨肉瘤	
11515	肘外翻	
3361	肩撞击综合征	肩峰下撞击综合征|肩袖创伤性肌腱炎|肩袖综合征|肩撞击症|旋转受制综合征|游泳肩
11037	急性单纯外伤性腰腿痛	
1537	上颌骨骨折	上颌骨折
1637	肌僵硬	
10203	腰骶部脂肪疝	
3314	肌无力	
10950	腓骨近端骨折	
7724	肩胛背神经卡压症	
2622	维生素D缺乏	
1325	关节不稳定性	
7725	肩胛骨体部骨折	
5073	颞下颌关节肿瘤	
10910	单侧关节突关节脱位	
12488	先天性胫跗关节脱位	内翻足|先天性内翻足
6554	骨消失综合征	Gorham综合征|大块性骨溶解综合征|Gorham病|血管瘤性痣伴骨质溶解|鬼怪骨|消失骨|大量骨质吸收症|消失性骨病|自发性骨吸收|骨淋巴瘤病|全身性原发性骨淋巴瘤|骨消失综合征|血管、淋巴瘤病|原发性骨质溶解征|Gorham-Stout综合征|Gorham骨大块溶解|大块骨溶解症|大块性骨质溶解综合征|戈海姆综合征|骨自溶症|急性自发性骨质吸收|幻影骨|进行性骨溶解症|巨大溶骨综合病征|脉管瘤病|全身性原发性骨淋巴管瘤|特发性骨炎溶解症|血管、淋巴管瘤病|原发性骨质溶解症
12482	外胫夹综合征	胫前痛综合征
470	软骨母细胞瘤	Codman肿瘤|成软骨细胞瘤|钙化巨细胞瘤|骨骺软骨性巨细胞瘤|含软骨巨细胞瘤|良性骨骺软骨母细胞瘤|Codman综合征|骨骺性软骨母细胞瘤|良性成软骨细胞瘤|良性软骨母细胞瘤
7810	颈腰综合征	颈腰综合症|颈腰椎并发的椎间盘病|颈腰椎综合征|颈椎与腰椎椎管狭窄及退变综合征
3079	骨排列不齐	
878	股骨颈骨折	Pauwels型股骨颈骨折|股骨关节囊内骨折
1152	犬髋发育不良	
10992	肱骨远端全骺分离	
10797	先天性胫骨缺如	
1391	腿长不等	
7659	脊髓型颈椎病	
9926	小儿指甲-髌骨综合征	儿童指甲-髌骨综合征|小儿查特累恩氏综合征|小儿查特累恩综合征|小儿甲髌综合征|小儿遗传性指甲骨关节发育不良|小儿遗传性爪甲骨发育不全|小儿指甲-髌骨综合症|小儿指甲膝盖综合征|Chatelain综合征|Fcmg综合征|遗传性骨一指甲发育不良|先天性髂骨角样骨综合征|Oester-Reicher-Turner 综合征|骨一指甲发育不良综合征|Touraine I型
7413	跟骨骨骺骨软骨病	Haglund病|Sever病|跟骨骨突炎|Sever 综合征|跟骨缺血性坏死|跟骨骺炎|跟骨骨突骨软骨病|跟骨骨突骨骺缺血坏死|跟骨骨凸骨软骨病|跟骨骨软骨炎|跟骨骨骺缺血性坏死|跟骨粗隆骨骺缺血坏死|hagum病
7459	骨良性纤维组织细胞瘤	
1314	颌畸形	
2676	髋骨关节炎	
7661	脊柱脊髓伤	脊柱、脊髓损伤
6667	胫骨结节骨软骨病	Osgood-Schlatter病|胫骨结节骨骺炎|奥-施二氏病|胫骨粗隆骨软骨病|胫骨前结节骨软骨炎|胫骨结节缺血坏死|胫骨结节骨软骨炎|胫骨结节骨骺坏死症|胫骨粗隆软骨病|Osgood病
2671	颧骨骨折	
10530	椎间盘钙化症	
7008	尺骨鹰嘴骨折	
9190	下尺桡关节脱位	
8297	慢性创伤性滑囊炎	
4317	原发性骨质疏松	
11586	短指-晶状体异位综合征	
5336	局限性骨脓肿	Brodie脓肿
2955	反应性关节炎	Reiter综合征|赖特综合征|尿道-眼-关节综合征|浓溢性特发性关节炎|尿道-关节炎|性病性关节炎|结合膜尿道滑膜综合征|Fiessinger-Leroy-Reiter 综合征|Waelsch综合征|肠性多关节炎
2691	病毒性性传播疾病	
2400	跗管综合征	跖管综合征|踝管综合征|跖管综合症|跗骨管综合征
7692	甲沟炎和甲下脓肿	
6919	髌腱断裂	
866	筋膜炎	肌筋膜炎|纤维织炎
7464	骨嗜酸性肉芽肿	骨嗜曙红细胞肉芽肿|骨嗜酸细胞肉芽肿|骨嗜酸细胞性肉芽肿|Langerham细胞肉芽肿瘤|Lichtenstein-Jaffe综合征|非特异性肉芽肿|骨非特异性肉芽肿|骨孤立性肉芽肿|骨肉芽肿|骨嗜伊红细胞肉芽肿|局限性组织细胞增生症|嗜酸性粒细胞肉芽肿|嗜酸性肉芽肿|嗜伊红骨髓瘤|嗜伊红肉芽肿|嗜伊红细胞反应性骨髓炎|网状内皮细胞肉芽肿|网状内皮组织增殖症|组织细胞肉芽肿|组织细胞增多症X
11027	寰椎骨折脱位	
11241	去分化软骨肉瘤	
7117	淀粉样变病和淀粉样关节病	
12483	膝关节滑膜卡压综合征	
1842	Pancoast综合征	肺上沟瘤综合征|Hare综合征|Cluffin综合征|Pancoast—Tobias综合征|Pancoast-Tobias-Cluffin综合征|肺上沟癌|肺尖部肿瘤|肺尖-肋骨-椎体综合征|原发性肺尖癌|肺外胸廓肿瘤|胸廓人口部肿瘤|肺尖肿瘤综合征|巅尖综合征|Pancoast综合症|潘科斯特氏综合征|潘科斯特综合征|Cluffini综合征|Pancoast-Tobias-Cluffini综合征|Pancoast-Tobias综合征|Pancoast肿瘤|肺顶部肿瘤|肺尖癌综合征|肺尖肋骨脊椎综合征|肺尖-肋骨-脊椎综合征|肺上沟肿瘤综合征|肺上沟综合征|胸骨-肋骨-腮原瘤|胸骨-锁骨-腮原痛|胸廓入口部肿瘤|胸入口综合征
6553	骨软骨炎综合征	骨骺炎综合征
7424	肱骨髁间骨折	
3945	缺血性挛缩	
9181	膝关节脱位	
